emis_variables,met_variables,hour_begin_seq,# of starting poins,MAE_validation,RMSE_validation,Percentage_error_validation,RMSE_test,Date
"['NO', 'NO2']","['PBL', 'Q2', 'TEMP2', 'WSPD10', 'WDIR10']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0027847942,0.0036964861,0.14990804,0.005383468,2020-11-23 17:17:33
"['NO', 'NO2']","['PBL', 'Q2', 'TEMP2', 'WSPD10', 'WDIR10']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0027431902,0.0036285284,0.14715207,0.0050167316,2020-11-23 17:52:13
"['NO', 'NO2']","['PBL', 'Q2', 'TEMP2', 'WSPD10', 'WDIR10']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0030312599,0.0036432438,0.13795152,0.0047628568,2020-11-23 17:56:01
"['NO', 'NO2']","['PBL', 'Q2', 'TEMP2', 'WSPD10', 'WDIR10']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.002348088,0.0032039315,0.12398127,0.006023279,2020-11-23 17:59:46
"['NO', 'NO2']","['PBL', 'Q2', 'TEMP2', 'WSPD10', 'WDIR10']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0017264371,0.0021922712,0.08418215,0.007002053,2020-11-23 18:03:48
"['NO', 'NO2']","['PBL', 'Q2', 'TEMP2', 'WSPD10', 'WDIR10']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0023666031,0.0029830032,0.12331538,0.006084612,2020-11-23 18:07:43
"['NO', 'NO2']","['PBL', 'Q2', 'TEMP2', 'WSPD10', 'WDIR10']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0021308903,0.0027751117,0.116549164,0.0070356242,2020-11-23 18:11:40
"['NO', 'NO2']","['PBL', 'Q2', 'TEMP2', 'WSPD10', 'WDIR10']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0025928244,0.0036437481,0.14295647,0.0065709595,2020-11-23 18:15:38
"['NO', 'NO2']","['PBL', 'Q2', 'TEMP2', 'WSPD10', 'WDIR10']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0031333924,0.0042348164,0.17425135,0.005313426,2020-11-23 18:19:40
"['NO', 'NO2']","['PBL', 'Q2', 'TEMP2', 'WSPD10', 'WDIR10']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0022744464,0.003113197,0.12010145,0.0066394517,2020-11-23 18:23:42
"['NO', 'NO2']","['PBL', 'Q2', 'TEMP2', 'WSPD10', 'WDIR10']","[0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60]",11,0.0033576475,0.0040378324,0.16283157,0.00630072,2020-11-23 18:27:46
